Table Notes ...

Table:	game-types.tsv
=====

Field#	Field-Name       Type        Description
------  ---------------  ----------  -----------
1       gametypeid       string      ID for game-type (HL1, TFC, CS1, CSS, CS2, etc.)
2       gameengine       string      Game engine type (goldsrc, source, source2, etc.)
3       steamlogin       string      If a non-default Steam login is required, the format is "username password" (all in one field).
4       appidinstall     numeric     Steam AppID to use for installation.
5       appidcheck       numeric     Steam AppID to use for checking for updates via Steam web API.
6       steamcmdmod      string      Steam "mod" value to use for install (if any).
7       teamcmdpts       string      Extra install options for SteamCMD.
8       modsubfolder     string      Mod sub-folder, relative to install folder (valve, cstrike, dod, game/csgo, etc.)
9       warnstoptext     string      Server-side command to warn players (in text) about a restart.
10      warnstopaudio    string      Server-side command to warn players (in audio) about a restart.
11      warnupdatetext   string      Server-side command to warn players (in text) about an update.
12      warnupdateaudio  string      Server-side command to warn players (in audio) about an update.
13      description      string      Plain-text game-type description.
14      comment	         string      Larger string.
